pid,file,NAME,ID,RESPONSE,RT,STIM,GROUP,PICNOS1,PICNOS2,MATCH,ORTN1,ORTN2,PICID1,PICID2,DAY,SESSION
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,1150,37,3,83,82,1,2,1,22,22,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,1161,38,3,80,79,1,2,1,21,21,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,1402,39,3,66,65,1,3,2,9,9,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,1168,40,3,70,89,2,1,2,16,36,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,1214,41,4,109,105,2,1,3,28,15,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,969,42,4,101,102,1,2,3,14,14,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,1364,43,4,112,110,2,1,2,30,28,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,753,44,4,117,115,1,3,1,31,31,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,897,45,4,97,98,1,1,2,7,7,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,626,46,4,106,93,2,1,3,25,1,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,632,47,4,104,108,2,2,3,15,25,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,1113,48,4,96,95,1,3,2,6,6,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,996,49,4,120,119,1,3,2,35,35,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,1452,50,4,92,112,2,2,1,1,30,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,753,51,2,51,37,2,3,1,27,11,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,858,52,2,41,42,1,2,3,17,17,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,1681,53,2,46,47,1,1,2,26,26,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,956,54,2,32,33,1,2,3,5,5,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,NA,NA,55,2,37,36,2,1,3,11,8,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,1823,56,2,45,43,1,3,1,20,20,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,1320,57,2,52,59,2,1,2,33,39,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,1170,58,2,55,56,1,1,2,37,37,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,1319,59,2,60,53,2,3,2,39,33,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,1176,60,2,35,49,2,2,1,8,27,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,1618,61,3,70,80,2,1,2,16,21,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,812,62,3,86,87,1,2,3,23,23,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,1407,63,3,69,83,2,3,2,10,22,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,1469,64,3,81,70,2,3,1,21,16,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,902,65,3,66,65,1,3,2,9,9,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,1567,66,3,77,67,2,2,1,19,10,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,835,67,3,61,62,1,1,2,3,3,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,1157,68,3,83,78,2,2,3,22,19,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,869,69,3,73,75,1,1,3,18,18,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,1621,70,3,88,90,1,1,3,36,36,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,1423,71,1,6,4,1,3,1,4,4,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,946,72,1,10,12,1,1,3,13,13,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,1280,73,1,7,9,1,1,3,12,12,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,1600,74,1,24,28,2,3,1,34,40,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,1678,75,1,16,27,2,1,3,29,38,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,1852,76,1,25,14,2,1,2,38,24,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,2,971,77,1,30,17,2,3,2,40,29,2,2
11,data/raw/S100.txt,kp,kp_07nov_behav2,1,946,78,1,2,3,1,2,3,2,2,2,2
